model,god_proizv,konjska_snaga,broj_cilindara,pogon,broj_vrata,voznja_na_otv,voznja_u_grad,popularnost,mcpp,proizvodjac,tip,kategorija,karoserija,cena_po_jedinici,prodajna_jedinica,profit_po_jedinici,
370Z,2015,332,6,0,2,25,18,2009,49400,0,0,0,0,0,41845.56,508151,7554.44
370Z,2015,350,6,0,2,26,18,2009,45490,0,0,1,0,1,38493.73,447072,6996.27
612 Scaglietti,2009,532,12,0,2,16,9,2774,313088,1,0,2,1,1,237528.69,505,75559.31
626,2001,125,4,1,4,25,19,586,20935,2,1,0,2,2,18988.45,810228,1946.55
Accord,2015,185,4,1,4,36,27,2202,30195,3,1,0,2,2,27461.73,719886,2733.27
Beetle Convertible,2015,210,4,1,2,29,23,873,31995,4,2,2,0,0,29617.64,701633,2377.36
C/K 1500 Series,1997,200,6,0,2,20,15,1385,2529,5,1,1,1,3,2254.92,733806,274.08
C/K 1500 Series,1998,200,6,2,2,19,14,1385,3265,5,1,1,1,4,3014.82,778281,250.18
Crossfire,2007,215,6,0,2,23,15,1013,29510,6,0,1,0,5,26019.87,785714,3490.13
Dakota,2010,210,6,2,4,18,14,1851,27880,7,1,0,0,4,24778.17,728338,3101.83
E-Series Wagon,2013,255,8,0,3,15,11,5657,36545,8,3,0,2,6,33291.18,706997,3253.82
A4,2016,220,4,1,4,31,22,3105,35900,9,0,0,2,2,31761.86,875281,4138.14
Aspire,1997,63,4,1,4,38,29,5657,2000,8,1,1,0,7,1784.48,801538,215.52
350Z,2008,306,6,0,2,24,17,2009,36280,0,1,1,0,0,33599.36,826221,2680.64
5,2013,157,4,1,4,28,22,586,24470,2,1,0,0,8,22567.9,695973,1902.1
B-Series Pickup,1999,160,6,2,2,19,15,586,3514,2,1,1,0,4,3254.72,840481,259.28
B-Series Pickup,1999,150,6,0,4,21,16,586,2946,2,3,1,0,4,2679.79,839513,266.21
B-Series Pickup,2000,119,4,0,2,24,20,586,2637,2,1,1,0,3,2333.25,851135,303.75
CTS,2016,268,4,3,4,29,21,1624,47560,10,2,0,1,2,39577.04,470981,7982.96
Diamante,2003,205,6,1,4,23,16,436,28447,11,0,0,2,2,25177.76,845903,3269.24
Festiva,1991,63,4,1,2,38,30,5657,2000,8,1,1,0,5,1852.48,868236,147.52
Fiesta,2015,120,4,1,4,36,28,5657,15685,8,1,1,0,2,14165.52,789289,1519.48
Grand Caravan,2017,283,6,1,4,25,17,1851,32395,7,1,0,2,8,29871.47,850290,2523.53
911,2017,370,6,3,2,29,20,1715,96300,12,0,1,0,1,78561.87,17790,17738.13
928,1995,345,8,0,2,17,11,1715,9400,12,1,1,0,5,8319.13,868498,1080.87
Avalanche,2010,320,8,0,4,21,15,1385,45815,5,3,0,1,9,39391.59,492857,6423.41
Avalon Hybrid,2017,200,4,1,4,39,40,2031,38700,13,1,0,2,2,34296.63,868106,4403.37
Camry,2017,268,6,1,4,30,21,2031,31370,13,1,0,2,2,27816.62,885601,3553.38
Canyon,2012,242,5,2,4,21,16,549,28610,14,1,0,0,9,26457.04,694455,2152.96
Beetle Convertible,2015,150,4,1,2,40,30,873,30775,4,4,2,0,0,27185.88,802807,3589.12
Beetle,2015,170,4,1,2,33,24,873,20695,4,1,1,0,5,18453.14,748189,2241.86
Canyon,2015,200,4,0,4,27,20,549,29730,14,1,0,0,4,26801.32,789750,2928.68
Civic,2015,143,4,1,4,36,28,2202,18490,3,1,1,0,2,16801.47,703511,1688.53
